follower,followee
4251,4191
2563,14172
1612,796
43,3970
4361,15267
566,5387
1360,9265
2206,1968
102,7149
7709,5562
1511,299
1923,18100
17323,9220
11508,10527
15264,16810
3970,7987
15662,16297
17978,4564
1303,19867
15258,7056
14927,4206
3538,17657
299,14331
1139,802
1296,2261
19546,4965
6088,2933
19918,11521
2535,6966
681,8961
1790,12030
286,3573
5791,14236
16019,2341
269,5609
5895,2513
1011,6993
52,2358
15783,836
1520,6826
728,748
2263,2438
3352,4241
14048,893
14937,20321
16931,15490
4533,8741
351,17567
4676,4869
15158,6091
642,15272
15168,1914
15307,588
893,1855
19955,4919
259,782
8126,14175
1234,10547
17471,5426
18441,2694
7935,15163
1359,8841
17176,20280
2936,16637
1850,521
2319,10134
17304,16304
4884,1079
19240,7397
13166,1578
10448,174
8619,1749
2272,12351
2958,14922
1439,7769
1409,7369
2383,43
2066,228
16838,2400
2700,2389
4711,1850
11160,5347
17577,9371
5466,11124
2555,2066
19434,13612
19638,1938
2269,3688
15247,4755
6772,1325
2360,2358
15077,339
468,7455
2512,5751
531,8878
4789,5165
5905,1903
4733,4442
7237,706
9928,13986
176,6123
6385,14729
17867,15490
4278,5419
1567,328
2313,631
2336,1474
16289,15635
1925,18543
2645,76
1967,6300
13887,1218
13004,4971
1143,8238
1562,12712
3800,15670
1229,12770
20000,4211
6328,16218
250,3824
345,176
1496,20383
7232,1985
5793,11612
995,198
19825,2389
1258,588
18559,14729
1499,9051
5387,4837
5121,7375
1449,3580
5676,290
2145,3237
15526,782
2413,1858
4365,12048
15485,16684
18814,18596
2158,1000
2879,5609
6091,16762
14978,176
3577,820
16804,290
4954,3099
415,1258
18006,4191
14999,2126
18007,886
4144,11609
1749,6584
2165,18467
7669,13567
241,2150
841,782
2731,7369
10405,160
2896,12556
20316,4855
179,43
1432,2423
10859,10537
2436,1954
33,2855
19448,17576
1221,2603
134,20043
2308,13648
19728,375
17615,1622
31,5314
11767,5110
5354,43
7640,3746
7056,5874
362,14729
664,645
388,9469
3628,2161
1920,413
334,7237
4206,2050
6446,5887
2616,2712
1922,3954
820,3894
9805,14665
848,1138
11391,5756
7451,4919
308,2896
18148,11038
3424,43
268,4624
7608,5702
1656,3439
510,12522
643,2883
13128,43
185,643
5286,1511
2050,4206
5055,9373
2083,10275
198,839
6462,10735
5887,17270
13229,13583
7021,802
8523,1149
19496,1125
880,2626
2423,19825
1307,5646
20091,5938
611,1019
19651,3143
8087,643
271,3041
5744,2479
12766,3800
19424,3917
174,10069
18214,7220
11563,1428
2516,4144
2344,15168
747,8374
9101,2365
18423,15307
11768,11186
15781,4390
166,444
1517,539
13782,1602
2063,3913
18697,16328
2254,159
10422,2691
18638,17512
4803,2980
7262,116
6632,467
1445,15854
5178,43
1730,272
15046,2905
488,4003
2120,4564
5365,1325
2392,334
3257,8467
4196,11582
1428,9232
2739,8126
30,16093
339,10037
2441,2997
19368,6870
2893,10770
18255,538
15917,4497
16207,9449
2855,2206
3840,9588
1142,2893
263,17656
1992,4919
3984,4419
12611,8128
1834,3269
18919,15037
5452,2997
8726,6268
1056,2962
604,1967
3100,4565
4851,14729
1034,867
2048,3954
9141,6737
2378,15209
4957,2261
3132,15816
6056,3212
177,11253
3696,531
210,7197
4635,6776
2595,1155
521,909
19173,4275
1475,12569
8878,1152
1263,16596
3222,1726
15051,1194
10122,20227
8072,18324
567,5755
4564,5076
15317,19037
4327,18608
2057,43
160,8064
5206,18199
6065,413
6398,751
13274,2261
4975,1474
13158,174
876,7145
19559,256
16426,5521
1469,9588
151,1423
18421,586
3793,1125
18003,222
2973,43
1186,13881
4058,13612
11077,2301
748,6987
1961,748
11253,4330
1903,4166
214,5287
9441,4341
580,796
936,9662
137,9059
4225,8300
2675,7299
7097,3259
13759,5797
221,15543
9800,4741
5611,4520
1137,3069
1692,5029
3272,328
4693,15608
1155,198
781,1142
5886,1722
5533,7056
14922,1146
4973,10862
172,1650
5638,176
11299,2040
13033,14215
10628,4919
2127,2261
7203,973
5661,942
1048,9593
15504,19867
822,334
2663,1943
6386,2206
3609,2640
14501,1268
15580,3276
14491,14922
2356,58
7057,743
8107,1662
6854,782
1888,15516
615,2563
7677,366
2090,690
19110,480
16301,2261
9895,2603
6901,9895
2989,43
7508,1850
1357,719
17754,2076
14924,992
17941,782
15751,1124
15719,3246
2543,13476
1087,14345
1589,14072
2150,11521
1099,174
478,973
13391,5881
2405,1474
6388,1063
1900,5438
2389,409
18116,9068
15516,9152
3017,3665
218,782
16767,1466
1100,12789
559,127
15940,5029
9342,19418
15234,15168
17884,18784
7112,960
1728,4406
5609,17567
770,1301
4980,458
7132,402
5291,1142
7016,13567
1152,723
743,2358
1422,43
8874,923
10722,14769
15236,16937
17331,74
5709,2985
10342,18213
18019,10959
2704,4055
1817,1352
16062,2806
1598,2077
6118,784
616,802
2925,4644
2058,12770
2974,3259
3929,43
12005,18438
940,17864
6223,690
2997,1906
6780,13755
2390,13000
2358,7269
2793,15180
13000,328
15533,7369
8098,4737
16093,5201
15805,947
2056,2905
14406,328
4134,2261
3702,15407
9617,43
17948,5361
5951,1400
2100,1692
7855,1968
3036,2913
2532,11702
1019,3259
15407,606
5370,2974
15529,4722
1754,43
13880,5510
10215,174
15527,2866
6274,20321
1367,8541
7626,1244
2802,1853
2178,8665
5790,43
910,13933
617,2798
18534,11878
5197,174
1478,9967
12654,2261
2341,3036
7642,9059
1362,1510
154,17567
4333,10487
15450,2884
6123,9265
4247,14164
2980,14729
5262,2261
4261,18939
14376,413
15410,17344
1734,15280
15187,863
9054,11692
834,2077
9842,2712
833,2452
1626,9168
888,2015
2002,415
2686,9028
17336,3800
3066,2997
2533,12564
15219,4241
1444,8107
6397,1954
458,334
1046,1142
56,1302
17571,2815
3502,4211
761,4316
5939,2261
1886,7759
18696,3225
17725,2650
131,3498
1354,328
532,328
19804,8374
15213,8170
7760,2206
16918,7793
1187,10275
2939,12205
1468,7237
1111,10974
13464,643
923,15805
838,4516
2682,467
20331,9545
283,1954
5215,912
13265,4755
4737,38
3658,13567
996,43
3224,3751
229,20070
8346,14898
2074,217
796,176
1906,228
5938,1822
884,2500
1822,802
12410,2063
360,467
16300,5887
205,4990
6618,16596
4965,7732
606,518
16754,1125
7514,43
1337,18324
19093,5359
4610,5341
1251,2905
13256,5755
886,6067
8807,5970
5741,89
444,1319
5175,7890
17774,4919
5513,3150
5984,2900
8939,2355
11070,6677
8965,290
6177,2261
9974,8698
583,4442
15112,2795
1792,3237
171,10353
2606,82
6674,3941
10220,174
370,11702
14286,15120
16356,4459
311,44
1387,18389
10112,1583
1219,13567
17326,1683
4698,4276
11,339
69,198
1859,690
9557,4497
136,4999
16051,3225
2650,8098
1686,2054
9241,189
1756,7397
609,17613
2137,1499
18465,20473
13312,5457
18394,19867
2931,796
41,4497
46,16381
8546,923
9961,15635
1170,4379
1061,9241
13956,861
4017,8874
19279,8335
5110,2090
15640,11941
6041,5733
7088,290
16900,4667
20081,3225
1117,7331
1858,176
17602,2253
909,5206
1398,6341
6556,2933
6054,916
403,2795
520,8449
6563,18279
2076,17602
15242,7394
912,13408
942,8972
12347,4722
2684,1138
6200,10204
1622,7724
2410,4405
226,6600
2942,1683
456,458
517,11647
19023,14729
18858,782
10,2664
18073,5646
3243,3792
6872,2620
213,11944
1147,415
2905,2829
3717,381
717,16357
15090,7070
1406,648
585,4055
363,4608
169,4868
7897,45
13065,4919
10268,1901
2500,4249
2226,5110
16782,15490
2199,17915
14939,43
784,3588
4441,10527
3465,12876
14361,11187
821,870
2350,346
7240,18993
4675,19825
1200,7968
2544,1490
6215,13218
654,11828
16212,15583
1465,2015
5521,1273
6879,15729
16174,14555
650,7084
17450,250
2970,1676
10249,5305
14724,2462
1980,7024
13130,15750
2724,973
1260,2624
3810,18613
4546,19825
1936,6023
3063,174
2064,5221
6958,4435
3562,11493
16175,6795
7724,4212
878,5086
17271,15247
1190,809
16349,13723
14588,1335
7643,2390
691,1325
9172,782
18107,232
14339,11190
2597,3790
5565,6825
7269,15805
2401,14922
18213,3225
17238,12680
327,18349
15079,14729
3059,9059
1539,81
459,10739
1244,7308
14991,16855
2430,440
20169,9469
2667,5079
2198,567
1328,15016
399,782
1633,4764
18889,4816
973,3929
4774,1576
17184,17864
762,1000
1342,18355
38,2650
6364,1900
3196,6397
1788,2665
2133,328
1291,10680
10041,647
3157,1306
4608,5948
744,2261
12793,12410
3091,3800
15104,7492
15877,10221
18114,3100
10604,8588
3165,199
64,9443
6299,3237
1576,1853
231,483
1461,8878
17344,15410
483,418
447,782
2604,440
7919,648
1282,16878
6126,4497
57,1766
42,4067
4050,562
1199,10353
17078,15894
1973,13424
2054,9058
443,13567
2659,9457
14516,1688
14423,7575
2641,11155
285,3702
1637,372
15269,5365
15120,19023
14283,15816
7888,1268
1122,290
2116,5286
4781,1985
3937,160
3540,14729
14433,5363
2087,3060
427,2233
1643,13631
6183,10527
11179,17348
1901,10268
1954,2624
11952,5894
467,987
1963,17567
8374,4442
8602,58
3794,2603
7106,1511
2587,1786
1149,7574
3953,2018
5189,14729
18389,10108
19592,6341
434,9803
2407,528
17899,7002
1,1740
475,5126
15645,15490
4469,43
