business_id,category
659,0
659,1
659,2
562,3
562,4
562,5
562,6
562,7
354,8
354,6
284,9
284,10
284,11
284,6
284,12
758,9
758,13
858,14
858,15
858,16
858,17
858,18
858,6
858,19
858,20
858,21
858,22
729,23
729,22
729,24
191,25
191,26
191,15
191,27
191,6
765,28
765,6
765,29
550,30
550,31
550,32
550,33
550,34
550,35
550,36
550,37
550,38
550,39
550,40
564,41
564,6
644,42
644,15
80,43
80,4
80,6
80,44
702,23
702,45
702,26
702,46
702,27
122,47
122,48
122,6
122,49
122,50
315,23
315,51
794,42
794,15
450,52
450,53
450,54
450,21
450,6
450,16
450,55
137,23
137,56
137,19
137,57
137,58
137,16
137,21
711,23
711,59
350,52
350,6
350,26
350,60
863,9
863,59
863,6
863,61
31,30
31,62
31,63
31,32
425,23
425,51
425,64
308,8
308,6
419,65
419,6
419,66
419,5
231,23
231,50
231,49
877,67
877,6
877,68
913,41
913,6
913,50
913,69
913,70
918,71
918,6
629,23
629,12
804,23
804,29
804,51
804,4
617,72
617,73
628,23
628,12
589,74
589,75
589,6
589,76
589,77
589,78
662,30
662,62
662,63
423,79
423,80
423,81
423,21
423,82
423,83
423,76
423,84
385,85
385,6
293,86
293,6
293,59
155,87
155,88
155,89
155,46
155,77
155,6
155,76
274,65
274,6
654,90
654,15
654,91
654,6
695,92
695,16
695,21
695,6
695,5
695,93
695,68
92,23
92,88
384,23
384,49
691,94
691,6
691,15
691,5
691,60
655,79
655,73
655,95
710,96
710,15
710,6
710,78
710,26
630,97
630,80
630,98
630,84
889,9
889,69
889,6
889,11
889,10
638,99
638,58
638,21
131,100
131,101
131,15
131,102
809,23
809,5
809,46
888,9
888,13
209,94
209,6
209,60
482,103
482,104
482,73
531,74
531,68
531,6
531,24
642,74
642,105
642,106
642,15
642,6
642,46
642,61
619,74
619,54
619,88
619,6
626,107
626,6
626,69
626,108
23,52
23,6
100,109
100,6
309,23
309,26
309,15
309,101
309,106
309,105
39,110
39,98
39,80
39,111
39,81
247,23
247,69
247,49
66,23
66,49
363,23
363,24
363,26
356,41
356,69
356,24
356,6
356,64
138,3
138,24
138,27
138,6
599,112
599,49
599,6
906,113
906,15
9,23
9,27
9,88
410,114
410,6
410,115
919,116
919,51
919,16
919,21
919,29
919,6
268,79
268,80
268,21
268,111
82,117
82,5
82,27
82,6
290,118
290,66
290,119
290,6
133,79
133,120
648,117
648,91
648,15
648,6
217,28
217,121
217,16
217,53
217,122
217,21
217,6
592,86
592,59
592,6
545,23
545,123
545,59
545,48
300,52
300,6
934,117
934,6
934,29
243,94
243,26
243,78
243,6
815,124
815,125
815,126
815,73
325,127
325,128
325,129
325,73
325,130
325,131
951,132
951,131
951,133
951,84
951,134
951,135
951,136
510,137
510,138
598,139
598,140
598,76
598,141
598,142
598,73
598,143
434,23
434,78
303,99
303,144
303,21
713,23
713,29
713,76
713,77
378,23
378,50
378,59
275,23
275,88
275,64
275,27
676,99
676,21
676,145
676,68
676,6
735,146
735,91
735,98
735,105
735,15
735,6
735,46
735,27
154,9
154,10
154,26
154,142
154,11
154,73
154,78
154,147
154,6
808,23
808,148
261,137
261,76
261,62
316,112
316,49
316,6
357,112
357,6
357,70
636,149
636,125
636,2
636,73
757,150
757,151
637,42
637,15
590,23
590,51
845,23
845,16
845,144
845,21
845,53
845,51
845,121
832,23
832,27
832,53
754,74
754,15
754,6
754,75
754,152
754,105
26,153
26,154
26,6
26,59
26,24
798,155
798,6
798,121
287,156
287,98
287,63
287,151
287,157
287,158
287,159
501,23
501,26
120,160
120,18
120,144
120,21
120,6
120,161
120,16
120,15
365,41
365,50
365,6
652,41
652,6
652,69
577,162
577,163
577,164
643,99
643,21
643,6
643,165
643,57
643,19
643,24
643,121
643,60
684,9
684,6
684,166
684,46
684,26
684,106
621,167
621,73
395,168
395,6
395,16
395,169
395,21
395,170
910,117
910,6
42,171
42,172
42,33
42,37
42,173
42,84
742,174
742,21
595,117
595,6
540,175
540,176
540,13
540,177
540,178
540,15
544,85
544,6
903,117
903,6
903,46
903,54
141,23
141,179
631,79
631,93
631,21
631,180
631,60
631,6
631,144
631,16
631,46
631,54
854,116
854,181
854,16
854,27
854,6
854,21
894,182
894,73
894,37
894,33
894,183
894,36
894,184
352,23
352,59
352,185
412,186
412,187
412,73
412,131
412,128
412,129
60,188
60,189
60,34
60,184
60,31
60,36
60,73
60,33
272,190
272,6
682,110
682,98
682,80
682,180
722,191
722,192
722,193
722,73
722,194
653,195
653,6
653,196
377,30
377,62
377,32
377,63
377,197
302,0
302,2
302,141
302,198
302,199
302,200
424,23
424,59
666,201
666,6
666,24
933,109
933,24
933,69
933,6
933,121
933,53
399,23
399,121
399,16
399,202
399,21
33,203
33,166
33,6
33,57
33,21
33,32
33,76
33,16
33,46
693,99
693,58
693,21
736,110
736,204
856,107
856,6
856,11
856,24
856,15
856,154
856,10
796,23
796,12
473,23
473,205
473,46
616,206
616,26
616,105
616,6
616,15
